School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Luther College,76.62,92028.0,1794.0,57885.0,76.74,64.29,77.42,1229.0,0.0,0.0,1.0,0.0
Davenport University,23.09,82128.0,4508.0,31321.0,52.18000000000001,92.56,78.57,1038.0038752465948,0.0,0.0,1.0,0.0
Adrian College,43.27,75744.0,1749.0,54621.0,53.91,61.21,65.74,1043.0,0.0,0.0,1.0,0.0
CUNY New York City College of Technology,27.97,134484.0,14615.0,13563.0,18.49,79.07,61.71,1105.497647860055,0.0,0.0,0.0,1.0
Lourdes University,42.34,60048.0,943.0,37498.0,43.42,77.82,67.16,1019.0,0.0,0.0,1.0,0.0
University of Detroit Mercy,100.0,115800.0,2424.0,38440.0,72.92999999999999,79.5,86.19,1165.0,0.0,0.0,1.0,0.0
Newschool of Architecture and Design,16.49,88476.0,359.0,50284.0,40.0,96.25,81.25,1100.0569122808465,0.0,1.0,0.0,0.0
Life Pacific University,17.78,80136.0,487.0,29158.0,48.96,93.1,65.67,1015.0,0.0,0.0,1.0,0.0
Kansas City Art Institute,51.82,90648.0,696.0,54227.0,57.46,59.1,65.03,1183.3499538159863,0.0,0.0,1.0,0.0
Maine College of Art & Design,26.21,73524.0,376.0,51962.0,52.1,70.26,64.41,1102.2187556456818,0.0,0.0,1.0,0.0
Kettering University,100.0,106896.0,1639.0,58080.0,67.03,74.13,93.33,1278.0,0.0,0.0,1.0,0.0
