School Name,Mean Earnings (10 Yrs after Entry)
University of Wisconsin-Oshkosh,45600.0
Assumption University,61300.0
Valparaiso University,54400.0
Rutgers University-New Brunswick,68100.0
University of Northern Colorado,47100.0
East Tennessee State University,40600.0
Hope College,50700.0
Castleton University,40800.0
Regent University,45600.0
Columbia College,43000.0
Johnson & Wales University-Online,42200.0
Southern Wesleyan University,46200.0
Michigan Technological University,66800.0
DeVry College of New York,50300.0
Webber International University,40100.0
Holy Cross College,45300.0
Johnson C Smith University,31400.0
Susquehanna University,60900.0
South University-Austin,40200.0
Schreiner University,44300.0
Eastern Nazarene College,46100.0
Phillips School of Nursing at Mount Sinai Beth Israel,85600.0
Saint Ambrose University,50500.0
Saint Johns University,67100.0
Bluffton University,41700.0
Asbury University,40700.0
University of Southern California,88800.0
Rust College,26600.0
Auburn University,56300.0
Wilberforce University,38400.0
Florida Agricultural and Mechanical University,44700.0
DeVry University-Arizona,50300.0
New Mexico Highlands University,37800.0
California State University Maritime Academy,87800.0
Columbia College Hollywood,39500.0
Buena Vista University,42600.0
SUNY Buffalo State,42200.0
Mount Mary University,43000.0
Western Oregon University,43400.0
Southwestern University,63400.0
Brenau University,45400.0
California State University-San Marcos,51100.0
University of Wisconsin-Whitewater,45800.0
Johnson University Florida,31700.0
Indiana University-South Bend,38100.0
Defiance College,46500.0
Westmont College,58000.0
Juniata College,56800.0
University of Phoenix-Texas,54900.0
Montana State University,48900.0
Gannon University,55100.0
Utah Valley University,50700.0
Princeton University,116300.0
McPherson College,43500.0
University of North Carolina School of the Arts,46700.0
Covenant College,46700.0
Humphreys University-Stockton and Modesto Campuses,33200.0
University of Alaska Anchorage,51200.0
The University of Texas at Tyler,50500.0
Dartmouth College,110200.0
Springfield College,48500.0
Oakland University,48100.0
Quincy University,46000.0
Malone University,48100.0
Hendrix College,44500.0
University of North Alabama,42800.0
Drury University,36200.0
University of North Texas at Dallas,49300.0
Rutgers University-Camden,68100.0
Coker University,37100.0
San Francisco Art Institute,38600.0
Arizona State University Campus Immersion,55500.0
Hamline University,55500.0
Francis Marion University,36900.0
Life University,47200.0
University of Providence,38600.0
Ohio Christian University,33000.0
University of Wisconsin-River Falls,44900.0
Ashford University,47600.0
Colgate University,81100.0
Clear Creek Baptist Bible College,31000.0
University of Nebraska at Kearney,45800.0
Southwest Minnesota State University,41400.0
